Borough Code,GSS Code,Year,Borough Name,Total Population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
1,E09000007,2001,Camden,202820,2641,2482,2366,2383,2276,2142,2120,2049,2139,1884,1846,1905,1805,1853,1817,1645,2003,1948,2337,2881,2865,2985,3300,3871,4209,5095,5466,5590,5978,5704,5572,5031,4955,4700,4830,4211,3895,3565,3387,3174,3107,2806,2673,2594,2482,2271,2107,2043,2096,2058,2047,2094,2192,2218,2243,1859,1866,1733,1693,1519,1355,1405,1456,1327,1343,1261,1254,1103,1129,1101,1174,1130,1106,1027,989,935,954,901,817,862,758,762,563,432,391,421,391,371,293,260,943
1,E09000007,2002,Camden,201739,2838,2588,2417,2302,2298,2196,2052,2040,1959,2046,1818,1790,1841,1744,1798,1770,1601,1968,1956,3005,3009,3093,3368,3909,4203,5036,5412,5509,5879,5653,5540,5044,4927,4654,4743,4183,3878,3585,3346,3159,2972,2928,2642,2520,2434,2340,2157,2010,1951,2010,1971,1986,2036,2134,2149,2199,1823,1835,1696,1656,1475,1318,1361,1409,1286,1307,1231,1226,1058,1082,1060,1132,1092,1068,983,947,889,915,852,770,811,711,704,511,384,349,370,339,318,243,934
1,E09000007,2003,Camden,201501,2826,2763,2508,2355,2198,2223,2097,1983,1941,1866,2005,1772,1720,1782,1696,1760,1729,1578,2020,3128,3152,3201,3436,3948,4198,4980,5361,5430,5781,5604,5511,5059,4901,4610,4657,4156,3862,3747,3332,3111,2985,2818,2778,2502,2354,2312,2254,2074,1924,1875,1926,1938,1931,1982,2059,2135,2163,1798,1789,1659,1604,1444,1275,1317,1369,1260,1281,1208,1165,1018,1050,1023,1097,1058,1017,949,902,859,861,809,722,764,656,639,454,349,306,321,292,264,922
1,E09000007,2004,Camden,202625,2906,2744,2682,2458,2241,2138,2126,2048,1884,1855,1861,1977,1705,1673,1751,1676,1730,1724,1684,3266,3311,3325,3523,4008,4216,4950,5338,5381,5716,5585,5510,5100,4902,4591,4597,4151,3867,3889,3479,3106,2980,2869,2697,2662,2341,2264,2266,2195,2004,1867,1802,1929,1896,1890,1911,2084,2114,2151,1754,1761,1609,1585,1403,1238,1287,1356,1246,1268,1140,1130,998,1019,1000,1069,1004,993,907,883,806,824,759,684,707,595,569,420,306,264,275,241,930
1,E09000007,2005,Camden,203399,2929,2790,2636,2622,2315,2177,2024,2078,1931,1789,1868,1835,1896,1653,1641,1731,1642,1729,1866,3392,3456,3435,3594,4052,4216,4900,5294,5311,5627,5545,5488,5121,4883,4553,4519,4130,3857,3764,3571,3230,2989,2874,2751,2582,2484,2261,2237,2211,2122,1946,1787,1824,1881,1849,1804,1956,2060,2099,2089,1720,1697,1590,1535,1359,1206,1278,1340,1233,1179,1105,1111,966,994,973,1005,984,944,890,821,773,768,719,628,639,524,529,367,262,224,224,922
1,E09000007,2006,Camden,205199,2843,2806,2680,2590,2469,2264,2063,1995,1960,1842,1836,1861,1757,1854,1636,1638,1708,1659,1923,3533,3617,3561,3683,4115,4237,4875,5276,5266,5566,5531,5493,5166,4887,4538,4463,4129,3865,3830,3429,3329,3153,2920,2783,2659,2409,2434,2272,2206,2153,2081,1875,1843,1788,1845,1765,1887,1947,2061,2041,2062,1659,1692,1545,1496,1335,1213,1275,1338,1141,1153,1099,1083,951,975,911,998,941,938,829,798,721,733,665,569,567,499,470,319,224,180,922
1,E09000007,2007,Camden,207790,2999,2704,2687,2640,2421,2428,2146,2048,1871,1873,1919,1842,1779,1720,1848,1645,1621,1739,1901,3683,3787,3696,3781,4187,4267,4860,5270,5233,5517,5529,5509,5223,4903,4533,4416,4137,3882,3857,3468,3186,3286,3114,2849,2708,2484,2384,2478,2260,2159,2125,2015,1962,1813,1758,1756,1880,1887,1959,2001,2020,1997,1665,1648,1510,1477,1352,1220,1283,1233,1123,1157,1076,1073,938,908,916,956,945,873,813,745,693,680,604,501,548,443,412,276,180,893
1,E09000007,2008,Camden,208418,2927,2807,2540,2616,2422,2357,2274,2116,1891,1761,1953,1912,1734,1724,1700,1844,1612,1643,2003,3791,3914,3789,3835,4212,4250,4790,5204,5141,5406,5465,5464,5221,4862,4476,4320,4098,3854,4077,3420,3178,3132,3232,3022,2753,2496,2449,2427,2451,2192,2114,2036,2104,1911,1764,1642,1877,1863,1883,1870,1958,1926,1985,1600,1593,1475,1484,1347,1219,1152,1203,1121,1120,1056,1046,855,910,866,954,865,849,747,709,632,608,524,487,482,383,355,222,865
1,E09000007,2009,Camden,213454,2936,2769,2680,2521,2427,2409,2239,2297,1989,1815,1903,1995,1834,1715,1745,1740,1849,1676,1987,3974,4119,3957,3967,4321,4316,4816,5242,5151,5403,5509,5527,5323,4919,4509,4310,4141,3904,4206,3680,3186,3213,3164,3217,2995,2585,2531,2570,2463,2435,2199,2067,2192,2095,1901,1674,1827,1903,1903,1824,1868,1898,1961,1952,1579,1592,1521,1512,1377,1101,1152,1232,1111,1126,1054,976,885,879,894,890,866,798,730,664,577,540,529,440,431,340,299,919
1,E09000007,2010,Camden,217753,2989,2739,2612,2650,2296,2406,2268,2260,2149,1900,1975,1944,1899,1808,1734,1786,1737,1917,2058,4141,4307,4109,4080,4410,4363,4818,5254,5136,5373,5527,5563,5400,4952,4519,4278,4164,3935,4260,3751,3420,3231,3253,3146,3185,2806,2627,2668,2607,2440,2439,2142,2241,2175,2077,1793,1880,1847,1939,1827,1813,1790,1931,1916,1921,1572,1639,1546,1539,1237,1099,1183,1215,1114,1119,971,1006,849,908,821,890,806,777,678,602,504,547,475,388,381,281,1028
1,E09000007,2011,Camden,220087,2921,2748,2546,2562,2384,2260,2238,2282,2084,2043,2072,2011,1827,1862,1821,1769,1772,1801,2330,4278,4464,4231,4164,4467,4377,4784,5227,5082,5302,5504,5559,5438,4949,4496,4214,4156,3937,3823,3739,3454,3467,3270,3225,3102,2966,2847,2773,2699,2571,2434,2366,2326,2209,2143,1947,2014,1890,1875,1841,1803,1716,1816,1869,1870,1901,1615,1656,1566,1373,1228,1130,1159,1211,1102,1019,1001,959,879,823,822,820,781,716,609,520,516,487,417,339,315,1106
1,E09000007,2012,Camden,224950,3033,2777,2636,2491,2530,2360,2269,2227,2277,2080,2028,2068,2002,1841,1830,1873,1841,1837,2598,3820,4566,4577,4766,4789,4791,4772,5040,5301,5184,5365,5330,5454,5255,4819,4382,4027,4015,3829,3702,3598,3379,3382,3197,3199,3083,2918,2841,2793,2694,2574,2419,2363,2333,2191,2121,1956,1996,1890,1865,1804,1791,1676,1803,1846,1836,1874,1599,1646,1550,1337,1183,1101,1146,1179,1080,992,971,931,848,789,788,782,739,671,567,482,471,443,378,303,1168
1,E09000007,2013,Camden,229692,2826,2886,2670,2583,2469,2504,2369,2258,2225,2268,2067,2027,2058,2010,1813,1880,1939,1899,2584,3983,4246,4664,5038,5252,5022,5108,5050,5200,5401,5304,5269,5308,5311,5118,4703,4201,3926,3918,3721,3583,3524,3315,3311,3180,3184,3037,2912,2860,2791,2695,2560,2422,2375,2314,2173,2127,1946,1997,1881,1830,1794,1750,1669,1786,1816,1813,1858,1591,1629,1508,1290,1154,1090,1118,1156,1052,962,944,899,813,757,752,740,693,624,524,441,428,400,338,1210
1,E09000007,2014,Camden,233694,2736,2697,2768,2613,2556,2446,2508,2356,2256,2219,2248,2064,2016,2064,1971,1866,1948,1995,2663,3964,4357,4401,5076,5477,5357,5267,5309,5199,5316,5483,5205,5256,5181,5163,4953,4479,4077,3837,3796,3592,3506,3442,3245,3286,3162,3127,3023,2927,2851,2790,2673,2555,2431,2355,2289,2177,2107,1949,1986,1844,1820,1750,1738,1654,1758,1791,1795,1850,1578,1584,1452,1258,1143,1063,1097,1126,1020,935,912,864,781,724,713,695,646,579,480,403,387,359,1278
1,E09000007,2015,Camden,237364,2779,2615,2595,2704,2585,2529,2453,2491,2351,2252,2202,2240,2055,2023,2022,2017,1933,2003,2752,4032,4322,4482,4863,5485,5532,5512,5413,5407,5309,5416,5358,5203,5145,5053,4995,4701,4333,3975,3729,3663,3515,3425,3361,3226,3263,3106,3109,3032,2914,2845,2765,2664,2562,2410,2330,2292,2158,2104,1940,1944,1833,1776,1739,1720,1631,1736,1773,1787,1833,1536,1525,1413,1247,1116,1043,1069,1093,993,904,877,830,747,688,671,649,601,531,439,366,347,1357
1,E09000007,2016,Camden,239300,2799,2646,2510,2535,2666,2553,2531,2436,2480,2342,2231,2192,2220,2058,1978,2063,2077,1986,2699,4000,4269,4363,4836,5209,5429,5570,5531,5424,5436,5363,5267,5306,5069,5000,4878,4718,4515,4198,3840,3592,3570,3423,3334,3325,3199,3194,3082,3106,3008,2899,2810,2746,2659,2531,2379,2325,2260,2149,2085,1897,1927,1782,1758,1716,1688,1609,1716,1760,1766,1781,1476,1481,1396,1216,1094,1016,1037,1061,959,868,843,794,709,648,626,603,552,486,398,330,1410
1,E09000007,2017,Camden,241231,2809,2661,2540,2455,2506,2630,2555,2511,2428,2468,2319,2223,2175,2220,2013,2020,2120,2119,2667,3921,4261,4327,4717,5187,5215,5477,5582,5514,5440,5476,5218,5230,5161,4934,4835,4618,4532,4364,4048,3693,3511,3474,3333,3300,3292,3135,3167,3079,3079,2989,2861,2789,2740,2624,2495,2374,2296,2249,2130,2036,1882,1871,1766,1735,1685,1665,1593,1704,1740,1716,1713,1436,1462,1359,1192,1066,986,1009,1025,921,835,806,755,669,607,583,555,506,441,359,1446
1,E09000007,2018,Camden,243165,2814,2671,2554,2484,2430,2476,2629,2535,2502,2418,2441,2308,2207,2176,2167,2057,2078,2159,2760,3879,4191,4331,4691,5074,5197,5311,5500,5561,5514,5475,5319,5184,5098,5020,4777,4585,4446,4382,4200,3886,3605,3423,3381,3300,3269,3222,3112,3162,3053,3057,2947,2838,2781,2704,2585,2487,2345,2286,2228,2080,2017,1831,1852,1744,1704,1662,1648,1585,1688,1691,1651,1668,1420,1425,1331,1162,1036,960,976,985,886,800,768,713,628,567,537,510,462,399,1505
1,E09000007,2019,Camden,245101,2817,2677,2564,2498,2458,2404,2481,2607,2526,2490,2393,2428,2291,2210,2127,2206,2115,2118,2773,3907,4157,4271,4703,5062,5102,5300,5366,5489,5560,5541,5316,5280,5058,4967,4858,4535,4419,4306,4219,4027,3789,3512,3337,3348,3270,3201,3194,3110,3133,3033,3012,2919,2828,2742,2662,2576,2456,2336,2266,2175,2062,1960,1815,1829,1713,1681,1647,1639,1574,1642,1627,1607,1653,1386,1396,1297,1130,1009,929,939,948,849,762,726,670,588,524,495,466,419,1593
1,E09000007,2020,Camden,247039,2820,2681,2571,2508,2472,2432,2410,2464,2596,2515,2464,2383,2408,2293,2161,2168,2260,2157,2724,3884,4157,4245,4645,5080,5099,5218,5360,5379,5496,5588,5375,5277,5149,4933,4814,4612,4376,4285,4154,4047,3921,3687,3422,3311,3318,3203,3174,3188,3085,3111,2990,2982,2907,2788,2699,2650,2542,2446,2317,2214,2156,2005,1942,1795,1795,1691,1666,1639,1626,1532,1581,1585,1592,1615,1360,1360,1261,1102,978,894,904,909,810,722,683,628,544,485,453,423,1691
1,E09000007,2021,Camden,248479,2815,2678,2570,2511,2478,2443,2436,2394,2455,2581,2487,2451,2365,2406,2239,2201,2223,2293,2764,3805,4109,4216,4600,4998,5096,5199,5266,5356,5384,5511,5405,5319,5133,5008,4774,4565,4440,4239,4131,3983,3936,3806,3583,3387,3281,3246,3173,3165,3157,3064,3063,2957,2965,2860,2741,2684,2612,2527,2422,2261,2192,2092,1984,1915,1762,1770,1674,1656,1625,1581,1476,1540,1568,1553,1584,1326,1322,1227,1068,942,862,867,867,767,680,642,583,504,445,412,1780
1,E09000007,2022,Camden,249917,2811,2675,2568,2510,2481,2449,2446,2419,2387,2445,2551,2473,2430,2365,2347,2278,2257,2258,2901,3862,4030,4166,4557,4955,5022,5198,5252,5270,5363,5410,5334,5347,5170,4991,4843,4528,4398,4299,4087,3963,3877,3821,3695,3544,3354,3212,3215,3164,3134,3132,3018,3029,2940,2916,2809,2723,2643,2595,2501,2363,2239,2129,2069,1957,1879,1739,1752,1665,1643,1581,1522,1439,1525,1530,1523,1546,1291,1288,1188,1029,908,827,828,821,722,638,596,541,463,407,1852
